Dimensions;Index;product-min;lukasiewicz-min;lukasiewicz-product
3;0;6.59;7.23;2.36
3;1;4.61;5.46;3.97
3;2;8.7;7.95;3.89
3;3;5.95;6.24;3.93
3;4;5.28;5.26;2.82
3;5;6.45;6.74;2.75
3;6;5.03;6.5;3.93
3;7;4.86;5.34;3.1
3;8;5.8;6.33;3.79
3;9;5.43;4.85;3.12
3;10;3.98;5.02;3.1
3;11;5.57;6.24;3.07
3;12;7.33;6.88;3.35
3;13;2.98;4.31;3.71
3;14;5.2;5.83;3.87
3;15;6.16;6.16;2.66
3;16;5.62;6.76;3.34
3;17;6.97;7.57;2.66
3;18;6.48;7.27;3.73
3;19;6.72;6.8;3.92
3;20;8.39;6.92;3.99
3;21;8.54;7.8;2.1
3;22;5.99;6.79;4.7
3;23;6.43;5.89;2.62
3;24;5.9;6.36;3.32
3;25;6.72;5.91;4.61
3;26;6.11;4.98;4.23
3;27;5.04;5.06;2.68
3;28;4.7;4.26;2.86
3;29;6.69;7.31;3.68
3;30;7.21;6.59;3.6
3;31;7.07;6.56;3.83
3;32;7.76;7.5;3.04
3;33;7.52;6.36;5.16
3;34;3.53;4.96;3.29
3;35;4.73;4.69;2.6
3;36;8.08;7.58;3.5
3;37;7.6;8.28;4.1
3;38;5.31;5.92;2.97
3;39;5.33;4.97;2.18
3;40;5.21;5.45;3.34
3;41;6.2;6.24;2.86
3;42;5.96;5.75;3.27
3;43;6.45;4.49;3.98
3;44;4.94;6.0;2.52
3;45;6.08;6.62;2.76
3;46;5.96;6.53;3.97
3;47;5.93;6.28;2.59
3;48;5.94;6.26;2.62
3;49;6.65;6.53;4.36
3;50;4.29;5.55;3.5
3;51;4.57;6.43;4.0
3;52;5.29;5.11;3.78
3;53;5.16;5.62;2.36
3;54;6.79;6.4;2.79
3;55;7.07;6.95;2.82
3;56;6.86;6.96;2.86
3;57;5.92;6.49;2.57
3;58;4.01;5.79;2.6
3;59;7.35;7.15;4.4
3;60;5.11;5.77;3.16
3;61;6.43;6.48;3.49
3;62;4.46;5.7;3.22
3;63;6.68;6.07;4.01
3;64;6.61;6.76;2.97
3;65;5.95;5.77;4.02
3;66;7.15;6.74;4.25
3;67;5.2;5.36;3.58
3;68;4.77;4.57;3.0
3;69;7.3;7.05;4.23
3;70;7.48;6.36;3.0
3;71;7.76;7.25;3.57
3;72;3.26;4.04;3.34
3;73;4.5;5.39;3.33
3;74;4.9;5.19;3.59
3;75;5.39;5.47;2.86
3;76;7.5;6.42;3.92
3;77;8.31;6.94;4.23
3;78;3.58;5.34;3.9
3;79;5.12;5.08;4.08
3;80;7.7;7.01;3.23
3;81;5.36;7.05;4.27
3;82;5.36;5.69;3.29
3;83;4.85;5.47;2.74
3;84;7.79;6.79;4.7
3;85;4.25;5.74;3.31
3;86;6.99;6.76;2.33
3;87;5.43;5.23;2.86
3;88;5.71;6.65;3.42
3;89;5.02;5.85;2.03
3;90;3.83;3.74;3.11
3;91;4.01;5.83;4.46
3;92;4.49;5.83;3.92
3;93;5.44;6.11;3.87
3;94;4.98;6.0;4.82
3;95;6.83;6.91;3.66
3;96;4.79;3.71;4.24
3;97;3.8;4.6;3.26
3;98;4.69;5.51;3.54
3;99;8.4;8.04;3.3
3;100;7.31;6.9;3.59
3;101;9.23;7.93;3.34
3;102;7.31;7.51;3.28
3;103;7.0;6.19;3.09
3;104;4.52;6.2;3.36
3;105;6.31;5.33;4.06
3;106;6.1;5.19;3.83
3;107;5.72;6.29;3.83
3;108;4.61;5.63;3.2
3;109;8.71;7.32;3.77
3;110;8.0;7.61;3.43
3;111;5.39;5.3;3.39
3;112;6.37;6.28;3.43
3;113;4.44;5.27;1.87
3;114;5.79;6.19;3.98
3;115;5.61;5.36;1.69
3;116;5.82;6.65;2.99
3;117;7.52;7.25;4.11
3;118;4.85;5.2;3.47
3;119;5.37;6.59;3.5
3;120;4.9;5.34;2.92
3;121;7.0;7.82;3.44
3;122;5.13;5.68;3.05
3;123;6.49;6.5;3.73
3;124;6.03;6.5;3.53
3;125;6.09;6.31;3.64
3;126;7.1;7.05;2.21
3;127;5.08;6.55;2.85
3;128;5.46;5.82;3.0
3;129;4.66;5.39;4.07
3;130;4.93;5.49;4.28
3;131;6.57;6.47;3.6
3;132;7.22;6.56;1.56
3;133;7.61;7.26;5.03
3;134;8.31;7.61;4.08
3;135;4.83;5.08;4.61
3;136;5.31;5.74;3.19
3;137;7.14;7.19;3.45
3;138;7.42;8.37;3.29
3;139;3.09;3.95;1.96
3;140;3.96;5.2;3.28
3;141;5.06;5.37;4.01
3;142;4.35;5.43;3.6
3;143;7.82;6.63;3.89
3;144;4.0;5.99;3.57
3;145;7.5;6.14;3.7
3;146;5.32;5.51;3.43
3;147;5.78;6.13;3.37
3;148;4.22;4.97;3.19
3;149;6.94;6.04;3.72
3;150;5.63;6.07;4.56
3;151;3.1;4.98;4.7
3;152;5.83;5.44;2.67
3;153;6.28;5.97;3.09
3;154;5.39;6.53;3.48
3;155;6.38;6.11;3.25
3;156;5.34;5.38;3.78
3;157;5.51;5.96;3.81
3;158;8.41;7.9;3.99
3;159;6.06;7.1;3.0
3;160;4.47;5.59;3.78
3;161;4.8;4.87;2.39
3;162;7.64;7.59;2.07
3;163;3.95;4.71;2.02
3;164;7.27;6.61;3.1
3;165;5.68;6.01;3.21
3;166;6.89;6.54;4.11
3;167;6.69;5.94;3.67
3;168;3.46;5.7;4.56
3;169;5.39;6.41;3.8
3;170;9.18;8.67;3.67
3;171;6.19;7.43;2.92
3;172;6.02;6.72;3.78
3;173;4.12;5.44;2.96
3;174;5.99;6.98;3.11
3;175;6.07;6.44;2.71
3;176;5.9;6.64;4.24
3;177;4.59;4.68;3.79
3;178;5.7;6.26;3.38
3;179;3.75;4.57;4.42
3;180;3.67;4.71;2.48
3;181;5.19;5.14;2.35
3;182;2.78;4.59;3.95
3;183;7.28;7.26;2.84
3;184;8.02;6.94;3.32
3;185;6.85;7.95;4.88
3;186;5.0;4.99;3.21
3;187;4.95;5.77;3.82
3;188;6.12;7.19;2.43
3;189;6.45;6.2;3.43
