Dimensions;Index;min;product;lukasiewicz
3;0;0.14;0.25;0.12
3;1;0.19;0.25;0.12
3;2;0.15;0.23;0.12
3;3;0.19;0.25;0.12
3;4;0.17;0.24;0.13
3;5;0.19;0.23;0.13
3;6;0.18;0.24;0.12
3;7;0.16;0.22;0.12
3;8;0.17;0.24;0.13
3;9;0.19;0.27;0.13
3;10;0.18;0.26;0.13
3;11;0.16;0.22;0.11
3;12;0.18;0.23;0.13
3;13;0.19;0.24;0.12
3;14;0.17;0.25;0.13
3;15;0.17;0.25;0.12
3;16;0.17;0.21;0.11
3;17;0.15;0.22;0.11
3;18;0.19;0.26;0.12
3;19;0.2;0.24;0.12
3;20;0.16;0.26;0.13
3;21;0.15;0.2;0.12
3;22;0.15;0.22;0.1
3;23;0.18;0.26;0.13
3;24;0.16;0.21;0.1
3;25;0.14;0.21;0.11
3;26;0.19;0.24;0.12
3;27;0.17;0.23;0.13
3;28;0.17;0.25;0.13
3;29;0.16;0.22;0.11
3;30;0.18;0.26;0.13
3;31;0.17;0.25;0.12
3;32;0.18;0.25;0.13
3;33;0.17;0.22;0.1
3;34;0.17;0.22;0.12
3;35;0.17;0.25;0.12
3;36;0.16;0.25;0.12
3;37;0.16;0.23;0.11
3;38;0.16;0.24;0.1
3;39;0.16;0.23;0.13
3;40;0.16;0.21;0.11
3;41;0.17;0.23;0.11
3;42;0.18;0.25;0.13
3;43;0.19;0.24;0.13
3;44;0.19;0.22;0.12
3;45;0.18;0.22;0.12
3;46;0.19;0.23;0.11
3;47;0.17;0.23;0.11
3;48;0.17;0.23;0.12
3;49;0.15;0.25;0.12
3;50;0.19;0.27;0.13
3;51;0.18;0.22;0.12
3;52;0.18;0.25;0.12
3;53;0.16;0.23;0.12
3;54;0.16;0.22;0.12
3;55;0.16;0.24;0.12
3;56;0.17;0.22;0.12
3;57;0.2;0.22;0.13
3;58;0.17;0.2;0.12
3;59;0.15;0.24;0.12
3;60;0.17;0.25;0.12
3;61;0.16;0.21;0.11
3;62;0.17;0.25;0.13
3;63;0.15;0.25;0.13
3;64;0.16;0.23;0.12
3;65;0.15;0.22;0.12
3;66;0.17;0.24;0.11
3;67;0.17;0.26;0.12
3;68;0.17;0.25;0.13
3;69;0.14;0.24;0.11
3;70;0.15;0.23;0.12
3;71;0.16;0.25;0.12
3;72;0.21;0.25;0.13
